no,content_id,title,content_type_id,area_code,si_gun_gu_code,first_image1,first_image2,map_level,latitude,longitude,tel,addr1,addr2,homepage,overview
4414,1829827,의열사(용산),12,1,21.0,http://tong.visitkorea.or.kr/cms/resource/55/1985655_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1985655_image3_1.jpg,6,37.5452647296,126.9605427036,,서울특별시 용산구 효창원로 177-18,,,
4344,749355,영등포 신길동 홍어거리,12,1,20.0,http://tong.visitkorea.or.kr/cms/resource/24/2530724_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2530724_image2_1.jpg,6,37.5105456646,126.9115453697,,서울특별시 영등포구 신길로 200-20,(신길동),,
4241,2553876,세운상가,12,1,23.0,,,6,37.5692681185,126.9952249747,,서울특별시 종로구 청계천로 159,(장사동),,
4415,2667611,이대거리,12,1,14.0,http://tong.visitkorea.or.kr/cms/resource/71/2667471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2667471_image3_1.jpg,6,37.5579323782,126.9424606606,,서울특별시 서대문구 대현동,(대현동),,
4575,486685,호압사(서울),12,1,8.0,http://tong.visitkorea.or.kr/cms/resource/51/2363151_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2363151_image3_1.jpg,6,37.452544314,126.9253457441,,서울특별시 금천구 호암로 278,(시흥동),,
4353,2778135,오류동역광장,12,1,7.0,http://tong.visitkorea.or.kr/cms/resource/04/2779004_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2779004_image2_1.jpg,6,37.4947462778,126.8430103921,,서울특별시 구로구 경인로20나길 17,(오류동),,
5116,130972,주한 프랑스문화원,14,1,24.0,http://tong.visitkorea.or.kr/cms/resource/61/1902861_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1902861_image3_1.jpg,6,37.5594938643,126.9735272291,,서울특별시 중구 칠패로 42,,,
4863,3082034,삼모아트센터,14,1,5.0,http://tong.visitkorea.or.kr/cms/resource/30/3082030_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/3082030_image3_1.JPG,6,37.4823659172,126.9290390137,,서울특별시 관악구 신원로 35 (신림동),삼모 더 프라임 타워 8층,,
5171,3085036,픽스굿 갤러리,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/48/3084448_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/48/3084448_image3_1.JPG,6,37.6081464015,126.9656987868,,서울특별시 종로구 평창11길 29 (평창동),,,
4832,3013185,바탕골소극장,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/53/3012953_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/3012953_image3_1.jpg,6,37.5819112248,127.0025878347,,서울특별시 종로구 동숭동,,,
5168,2745583,플로팅아일랜드,14,1,15.0,http://tong.visitkorea.or.kr/cms/resource/75/2779775_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2779775_image2_1.jpg,6,37.5125052818,126.9959959554,,서울특별시 서초구 올림픽대로 2085-14,(반포동),,
5125,719514,지식재산전문도서관,14,1,1.0,http://tong.visitkorea.or.kr/cms/resource/02/1807802_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/1807802_image3_1.jpg,6,37.500135159,127.0329540519,,서울특별시 강남구 테헤란로 131 한국지식재산센터,3층,,
5224,2998565,High Street Italia (하이 스트리트 이탈리아),14,1,1.0,,,5,0.0,0.0,,서울특별시 강남구 가로수길 69 엘큐브,elcube,,
4696,3012859,국립극장 공연예술박물관,14,1,24.0,http://tong.visitkorea.or.kr/cms/resource/11/3012811_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3012811_image3_1.jpg,6,37.551800789,127.0000222551,,서울특별시 중구 장충단로 59 (장충동2가),,,
5150,3080738,콘텐츠박스,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/36/3080736_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/3080736_image3_1.JPG,6,37.5808113818,127.0041960524,,서울특별시 종로구 동숭길 55 (동숭동),대학빌딩 B1,,
4764,1849416,대한민국역사박물관,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/17/2378617_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2378617_image2_1.jpg,6,37.5739117094,126.9777819886,,서울특별시 종로구 세종대로 198,(세종로),,
4887,130170,서울대학교 규장각,14,1,5.0,http://tong.visitkorea.or.kr/cms/resource/26/762426_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/762426_image3_1.jpg,6,37.4639934641,126.9522096436,,서울특별시 관악구 관악로 1,,,
4650,2642151,갤러리JJ,14,1,1.0,,,6,37.5183635167,127.0284206157,,서울특별시 강남구 논현로 745,(논현동),,
4674,130924,관세박물관,14,1,1.0,http://tong.visitkorea.or.kr/cms/resource/28/1837328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1837328_image3_1.jpg,6,37.5181775216,127.0336451451,,서울특별시 강남구 언주로 721,,,
4709,2764516,국토발전전시관,14,1,24.0,,,6,37.5668679459,126.9701134429,,서울특별시 중구 정동길 18,(정동),,
5033,130406,연우소극장,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/58/1837658_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/1837658_image3_1.jpg,6,37.5869800652,127.0017377683,,서울특별시 종로구 창경궁로35길 21,,,
4695,130231,국립극장,14,1,24.0,http://tong.visitkorea.or.kr/cms/resource/10/3083810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3083810_image3_1.jpg,6,37.5527228971,126.9996333755,,서울특별시 중구 장충단로 59,(장충동2가),,
4621,130233,가톨릭대학교 성신교정도서관,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/1894738_image3_1.jpg,6,37.5859580079,127.0043347827,,서울특별시 종로구 창경궁로 296-12,(혜화동),,
5098,3013173,일신홀,14,1,21.0,http://tong.visitkorea.or.kr/cms/resource/84/3012884_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/3012884_image3_1.jpg,6,37.5372192491,127.0055304997,,서울특별시 용산구 한남동,,,
4807,3074742,마이아트뮤지엄,14,1,1.0,,,6,37.507643118,127.0605957683,,서울특별시 강남구 테헤란로 518 한국섬유산업연합회,섬유센터빌딩 B1층,,
5232,2773265,K현대미술관,14,1,1.0,http://tong.visitkorea.or.kr/cms/resource/79/2778979_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2778979_image2_1.jpg,6,37.5243519026,127.0391111394,,서울특별시 강남구 선릉로 807,(신사동),,
4750,2762852,농업박물관,14,1,24.0,,,6,37.5668984662,126.9683386037,,서울특별시 중구 새문안로 16,(충정로1가),,
4767,736766,더페이지갤러리,14,1,16.0,http://tong.visitkorea.or.kr/cms/resource/89/2368189_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/2368189_image2_1.JPG,6,37.5456689391,127.0428990795,,서울특별시 성동구 서울숲2길 32-14,"(성수동1가,갤러리아 포레)",,
4668,2764310,고당기념관,14,1,24.0,,,6,37.5655129077,126.9901283238,,서울특별시 중구 수표로 48-2,(저동2가),,
5245,3082213,TCC아트센터,14,1,20.0,http://tong.visitkorea.or.kr/cms/resource/08/3082208_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/08/3082208_image3_1.JPG,6,37.5293654023,126.8949019125,,서울특별시 영등포구 국회대로 539 (당산동4가),,,
5096,231960,일본공보문화원,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/91/1895091_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1895091_image3_1.jpg,6,37.5768198642,126.9866477648,,서울특별시 종로구 율곡로 64,(운니동),,
4729,699241,김대중도서관,14,1,13.0,http://tong.visitkorea.or.kr/cms/resource/17/1807817_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1807817_image3_1.jpg,6,37.5569933677,126.9295757507,,서울특별시 마포구 신촌로4길 5-26,(동교동),,
4777,130851,동림매듭공방,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/68/923768_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/923768_image3_1.jpg,6,37.5817914891,126.9856032749,,서울특별시 종로구 북촌로12길 10,,,
5212,2762802,화폐박물관,14,1,24.0,,,6,37.5622047772,126.9800071179,,서울특별시 중구 남대문로 39 (남대문로3가),,,
5244,1062450,SJ쿤스트할레,14,1,1.0,,,6,37.5205189389,127.0349227401,,서울특별시 강남구 언주로148길 5,(논현동),,
5022,3335564,양천공원 책쉼터,14,1,19.0,,,6,37.5185800701,126.8682935295,,서울특별시 양천구 목동동로 135 (신정동),서울 양천구 목동동로 111 양천공원 책쉼터,,
4782,509267,두산갤러리,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/23/2022423_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2022423_image3_1.jpg,6,37.5718095925,127.0009799341,,서울특별시 종로구 종로33길 15,(연지동),,
4883,130198,서울국가무형문화재전수회관,14,1,1.0,http://tong.visitkorea.or.kr/cms/resource/39/683839_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/683839_image3_1.jpg,6,37.5102008674,127.0446443698,,서울특별시 강남구 봉은사로 406,(삼성동),,
4875,130448,서대문자연사박물관,14,1,14.0,,,6,37.5767495528,126.9378522148,,서울특별시 서대문구 연희로32길 51,,,
4908,1845410,서울에너지드림센터,14,1,13.0,http://tong.visitkorea.or.kr/cms/resource/50/3350450_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3350450_image3_1.jpg,6,37.5630864227,126.8914679417,,서울특별시 마포구 증산로 14,,,
4751,129921,다도화랑,14,1,1.0,http://tong.visitkorea.or.kr/cms/resource/80/1258080_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1258080_image3_1.jpg,6,37.5229879379,127.0260901416,,서울특별시 강남구 논현로159길 24,(신사동),,
4950,3043911,성북선잠박물관,14,1,17.0,,,6,37.5932848247,126.9982351308,,서울특별시 성북구 성북로 96 (성북동),,,
5072,2739477,윤동주문학관,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/15/3302915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3302915_image3_1.jpg,6,37.5921816175,126.9671657723,,서울특별시 종로구 창의문로 119,(청운동),,
5236,3047617,MUSEUM 209,14,1,18.0,http://tong.visitkorea.or.kr/cms/resource/31/3047631_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/3047631_image3_1.jpg,6,37.5139237687,127.1063803122,,서울특별시 송파구 잠실로 209 (신천동),소피텔 앰배서더 호텔 3층,,
4935,2751303,서울특별시교육청과학전시관 남부분관,14,1,7.0,http://tong.visitkorea.or.kr/cms/resource/78/2779678_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/78/2779678_image2_1.png,6,37.4965940424,126.8854898029,,서울특별시 구로구 구로중앙로27나길 21,(구로동),,
4937,2773340,서울혁신파크,14,1,22.0,http://tong.visitkorea.or.kr/cms/resource/84/2780484_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/84/2780484_image2_1.png,6,37.6088179801,126.9341710877,,서울특별시 은평구 통일로 684,(녹번동),,
4976,2465130,송파여성문화회관,14,1,18.0,http://tong.visitkorea.or.kr/cms/resource/30/2464630_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2464630_image3_1.jpg,6,37.50592198,127.1097385677,,서울특별시 송파구 백제고분로42길 5,(송파동),,
4658,130232,건국대학교 상허기념도서관,14,1,6.0,http://tong.visitkorea.or.kr/cms/resource/49/1502949_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/1502949_image3_1.jpg,6,37.5428781974,127.0763072274,,서울특별시 광진구 능동로 120,,,
4705,130173,국립현대미술관 덕수궁,14,1,24.0,,,6,37.5657876002,126.9748047119,,서울특별시 중구 세종대로 99,,,
4957,3080582,세실아트홀,14,1,1.0,http://tong.visitkorea.or.kr/cms/resource/77/3080577_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/77/3080577_image3_1.JPG,6,37.5281929927,127.0318533579,,서울특별시 강남구 언주로173길 20 (신사동),,,
5036,3082184,영등포아트홀,14,1,20.0,http://tong.visitkorea.or.kr/cms/resource/77/3082177_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/77/3082177_image3_1.JPG,6,37.5260603248,126.9001237514,,서울특별시 영등포구 국회대로 596 (당산동3가),영등포구민회관 내 영등포아트홀,,
4828,3338707,뮤지엄한미 삼청,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/11/3338711_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/11/3338711_image3_1.png,6,37.5883350888,126.9808924077,070-8807-4944,서울특별시 종로구 삼청로9길 45 (삼청동),,,
5092,3056222,인사센트럴뮤지엄,14,1,23.0,http://tong.visitkorea.or.kr/cms/resource/06/3056206_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/3056206_image3_1.jpg,6,37.574520076,126.9835675554,,서울특별시 종로구 인사동길 49 (관훈동),B1,,
5190,3012716,한생연융합교육과학관,14,1,23.0,,,6,37.5892797098,126.9968353725,,서울특별시 종로구 성균관로15길 32 (명륜1가),,,
4697,3038260,국립기상박물관,14,1,23.0,,,6,37.5696203417,126.9666303489,,서울특별시 종로구 송월동 1-1 국립기상박물관,,,
4969,1799798,손기정기념관,14,1,24.0,http://tong.visitkorea.or.kr/cms/resource/42/2037942_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2037942_image3_1.jpg,6,37.556907925,126.9663390685,,서울특별시 중구 손기정로 101,(만리동2가),,
5523,1800991,4·19혁명국민문화제,15,1,3.0,http://tong.visitkorea.or.kr/cms/resource/34/3104334_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/3104334_image3_1.jpg,6,37.6393938461,127.025670208,02-901-6205,서울특별시 강북구 도봉로89길 13 (수유동),,,
5404,3354906,"연화, 설렘의 빛",15,1,23.0,http://tong.visitkorea.or.kr/cms/resource/97/3354897_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/97/3354897_image3_1.png,6,37.5825967266,126.9730738387,02-723-0300,서울특별시 종로구 효자로13길 45 (효자동),,,
5333,2833059,서울 버스커 페스티벌,15,1,21.0,http://tong.visitkorea.or.kr/cms/resource/44/2997844_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/2997844_image3_1.jpg,6,37.5177178854,126.9580520415,02-6958-5444,서울특별시 용산구 양녕로 445,노들섬,,
5331,1847202,서대문독립축제,15,1,14.0,http://tong.visitkorea.or.kr/cms/resource/63/3334363_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/63/3334363_image3_1.JPG,6,37.5746723659,126.9573421635,02-330-1410,서울특별시 서대문구 통일로 251 (현저동),"서대문형무소역사관, 독립공원",,
5510,1539730,2024 이럴때 이런음악 해설이 있는 청소년음악회,15,1,20.0,http://tong.visitkorea.or.kr/cms/resource/02/3333702_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3333702_image3_1.jpg,6,37.5293048356,126.9249269552,02-332-5545,서울특별시 영등포구 여의공원로 101 C.C.M.M빌딩,국민일보 빌딩 지하2층 영산아트홀,,
5258,3348515,건군 76주년 국군의 날,15,1,21.0,http://tong.visitkorea.or.kr/cms/resource/14/3348514_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3348514_image3_1.jpg,6,37.5416099454,126.9798799337,02-3789-9560~4,서울특별시 용산구 두텁바위로 54-99 (용산동2가),,,
5291,2657111,대한민국 청년미술축제: 아트그라운드 서울,15,1,21.0,http://tong.visitkorea.or.kr/cms/resource/18/3332218_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/3332218_image3_1.jpg,6,37.5177178854,126.9580520415,02-6953-5385,서울특별시 용산구 양녕로 445 (이촌동),"노들갤러리 1관, 2관",,
5526,3347800,BEE PLACE <꿀벌의 Bee행 - 꿀벌아 돌아와!>,15,1,24.0,http://tong.visitkorea.or.kr/cms/resource/98/3347798_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/3347798_image3_1.jpg,6,37.5655015943,126.9787960237,02-6083-1873,서울특별시 중구 을지로 지하12 (을지로1가),,,
5531,2968672,DDP 봄축제 : 디자인 동물원,15,1,24.0,http://tong.visitkorea.or.kr/cms/resource/00/3304500_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3304500_image3_1.jpg,6,37.566107632,127.0095709797,02-2088-4957,서울특별시 중구 을지로 281,,,
5341,706180,서울거리예술축제,15,1,24.0,http://tong.visitkorea.or.kr/cms/resource/75/3334675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3334675_image3_1.jpg,6,37.5661348341,126.9777044385,02-758-2036,서울특별시 중구 태평로1가,54-2,,
5397,2540520,양재천 벚꽃 등(燈) 축제,15,1,15.0,http://tong.visitkorea.or.kr/cms/resource/18/3113918_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/18/3113918_image3_1.png,6,37.4766658159,127.0415289351,02-2155-8607,서울특별시 서초구 양재동,261-23,,
